THE POWERHOUSE FELLOWSHIP TRUST
MANAGEMENT ACCOUNTS – 1 February 2026 to 16 June 2026
Standard Bank Namibia | Account: 042746051 | Currency: NAD

INCOME & EXPENDITURE STATEMENT
,Feb-26,Mar-26,Apr-26,May-26,Jun-26 (to 16th),TOTAL

INCOME
Electronic Tithes & Offerings,"151,627.00","217,169.00","279,669.00","243,762.00","172,969.00","1,065,196.00"
Cash Collections (Tithes & Offerings),"27,700.00","51,900.00","54,300.00","32,677.00","16,700.00","183,277.00"
Online Giving Platform,"1,450.00","2,100.00","1,800.00","1,600.00",,"6,950.00"
Conference & Event Income,,"25,325.00",525.00,,,"25,850.00"
Book & Merchandise Sales,,,"1,270.00",,,"1,270.00"
Refunds Received,,,"17,994.00",,,"17,994.00"
Loans Received,,,,"4,000.00",,"4,000.00"
Bank Interest,39.63,47.99,48.97,18.53,,155.12
TOTAL INCOME,"180,816.63","296,541.99","355,606.97","282,057.53","189,669.00","1,304,692.12"

EXPENDITURE
Staff Salaries & Remuneration,"7,900.00","66,582.00","30,400.00","18,500.00","7,900.00","131,282.00"
Ministry Distributions (CJI),,,"84,785.00","80,350.00",,"165,135.00"
Fixed Debit Orders (Medical Aid / Insurance / Utilities / Housing),"41,077.68","64,300.28","64,522.28","64,230.28","64,280.28","298,410.80"
Renovation & Building,"3,250.00","5,500.00","3,600.00","2,350.00","2,350.00","17,050.00"
Facility Rental (Scouts / Venues),,"16,000.00","8,000.00","8,000.00","8,000.00","40,000.00"
Education & School Fees,,"3,500.00",,"7,000.00","3,500.00","14,000.00"
Technology & Software,,"23,944.34","7,217.58","1,655.00","1,222.00","34,038.92"
Travel & Accommodation,"15,826.64","71,361.94","33,766.08",192.50,,"121,147.16"
Contractors & Professional Fees,,"12,755.03",,"18,469.49",,"31,224.52"
Maintenance & Repairs,,"1,082.44","1,082.44","6,682.44",,"8,847.32"
Equipment & Assets,,"2,309.20",,,,"2,309.20"
Events & Catering,,"2,625.00",,"3,900.00",,"6,525.00"
Meals & Refreshments,,"1,800.00","2,200.00",850.00,300.00,"5,150.00"
Fuel & Vehicle,650.00,850.00,920.00,"1,480.00",600.00,"4,500.00"
Vehicle Maintenance,,,"7,000.00",,,"7,000.00"
Groceries & Household,"1,270.00","1,100.00",980.00,"1,750.00",,"5,100.00"
Medical & Pharmacy,,"1,091.00","2,917.68",376.00,,"4,384.68"
Personal / Clothing,,"2,201.00",449.00,,,"2,650.00"
Community Aid & Benevolence,,,,"20,310.00",,"20,310.00"
Bank Charges & Fees,"1,154.70","1,275.10","1,447.60","1,523.10",,"5,400.50"
Other EFT Payments,"10,000.00",,"10,000.00",,,"20,000.00"
TOTAL EXPENDITURE,"81,129.02","278,277.33","259,287.66","237,618.81","88,152.28","944,465.10"

SURPLUS / (DEFICIT),"99,687.61","18,264.66","96,319.31","44,438.72","101,516.72","360,227.02"

CASH FLOW SUMMARY
,Feb-26,Mar-26,Apr-26,May-26,Jun-26 (to 16th)
Feb-26,"Opening: 89,089.68","Income: 180,816.63","Expenditure: 81,129.02","Net: 99,687.61","Closing: 89,048.57"
Mar-26,"Opening: 89,048.57","Income: 296,541.99","Expenditure: 278,277.33","Net: 18,264.66","Closing: 124,472.28"
Apr-26,"Opening: 124,472.28","Income: 355,606.97","Expenditure: 259,287.66","Net: 96,319.31","Closing: 43,895.09"
May-26,"Opening: 43,895.09","Income: 282,057.53","Expenditure: 237,618.81","Net: 44,438.72","Closing: 33,286.12"
Jun-26 (to 16th),"Opening: 33,286.12","Income: 189,669.00","Expenditure: 88,152.28","Net: 101,516.72","Closing: 28,451.86"

BANK BALANCE MOVEMENT
Opening Balance (01 Feb 2026),"89,089.68"
Total Credits (per statement),"1,153,116.26"
Total Debits (per statement),"(1,213,754.08)"
Net Movement,"(60,637.82)"
Closing Balance (16 Jun 2026),"28,451.86"

NOTES
1. Currency: Namibia Dollar (NAD). All amounts per Standard Bank statement.
2. June figures cover 01–16 June 2026 (partial month).
"3. Fixed Debit Orders include: NHP Medical Aid N$17,759/mth; Sanlam Insurance N$3,382.77/mth;"
"   Homestar Housing N$770/mth; Paratus Internet N$1,782.96/mth; MTC Mobile ~N$400/mth;"
"   City of Windhoek ~N$9,400/mth; MLPAYMENT/AFPAYMENT/OMLACN ~N$30,785/mth."
4. Ministry Distributions (CJI-FNB) represent funds transferred to the ministry operations account.
"5. Technology costs include AI tools (Claude, ChatGPT, Moonshot, etc.) and hosting (Vercel)."
6. Travel includes international conference travel – see detailed breakdown in bank statement lines.
"7. Loans Received (Rodger) N$4,000 total – not included in income for surplus calculation."
